ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 2 default"
570,simple,,"Love Me, Love Me, Say That You Love Me",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,taxable,,1,,0,0,,,,,0,,,216,Women,,,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/love-tshirt-new.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/black-leather-jacket-03.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/black-leather-jacket-02.jpg",,,,,,,,,0,,,,,,,,,,,,,
574,simple,,"Biker Leather Jacket",1,0,catalog,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","[vc_row equal_height=""yes"" content_placement=""middle"" columns_height=""adjust_cols_height"" css="".vc_custom_1455528964284{background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}"" background_style=""normal""][vc_column width=""1/2"" css="".vc_custom_1455529040290{padding-top: 0px !important;background-color: #353535 !important;}"" font_color=""#ffffff""][vc_column_text css="".vc_custom_1455529056548{margin-bottom: 0px !important;padding-top: 25% !important;padding-bottom: 25% !important;}""]
<h1 style=""text-align: center;""><span style=""color: #ffffff;"">Quilted Details and</span>
<span style=""color: #ffffff;""> Steel Eyelets</span></h1>
<p style=""text-align: center;""><span style=""color: #ffffff;"">2014 Winter Fashion Trends</span></p>
[/vc_column_text][/vc_column][vc_column width=""1/2"" css="".vc_custom_1484435897444{padding-top: 100% !important;padding-right: 0px !important;padding-left: 0px !important;background-image: url(http://import.getbowtied.com/shopkeeper-replica//wp-content/uploads/02-2.jpg?id=700) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}""][/vc_column][/vc_row][vc_row equal_height=""yes"" content_placement=""middle"" css="".vc_custom_1455539610516{padding-right: 10% !important;padding-left: 10% !important;background-color: #f7f7f9 !important;}"" background_style=""normal""][vc_column][vc_row_inner equal_height=""yes"" content_placement=""middle""][vc_column_inner width=""1/4"" css="".vc_custom_1455539497438{padding-top: 10% !important;padding-bottom: 10% !important;}""][vc_text_separator title=""Raw Material"" title_align=""separator_align_left"" color=""custom"" style=""no_border"" font_size=""23px"" accent_color=""#222222""][vc_column_text css="".vc_custom_1414582724291{margin-top: -30px !important;padding-right: 30px !important;padding-bottom: 10px !important;}""]Kogi vegan umami asymmetrical, disrupt pug sriracha pickled sustainable hoodie synth beard truck put a bird on it retro.[/vc_column_text][vc_empty_space height=""100px""][vc_text_separator title=""Popular Culture"" title_align=""separator_align_left"" color=""custom"" style=""no_border"" font_size=""23px"" accent_color=""#222222""][vc_column_text css="".vc_custom_1414582708163{margin-top: -30px !important;padding-right: 30px !important;padding-bottom: 10px !important;}""]Hashtag fingerstache kitsch stumptown photo booth. Leggings semiotics bicycle rights umami asymmetrical banjo mixtape.[/vc_column_text][/vc_column_inner][vc_column_inner width=""1/2"" css="".vc_custom_1455539507645{padding-top: 0px !important;padding-right: 0px !important;padding-left: 0px !important;}""][vc_single_image image=""701"" img_size=""full"" alignment=""center"" css="".vc_custom_1484435931236{margin-bottom: 0px !important;}""][/vc_column_inner][vc_column_inner width=""1/4"" css="".vc_custom_1455539534381{padding-top: 10% !important;padding-bottom: 10% !important;}""][vc_text_separator title=""Safety Gear"" title_align=""separator_align_right"" color=""custom"" style=""no_border"" font_size=""23px"" accent_color=""#222222""][vc_column_text css="".vc_custom_1414582739692{margin-top: -30px !important;padding-bottom: 10px !important;padding-left: 30px !important;}""]
<p style=""text-align: right;"">Marfa try-hard, typewriter Portland asymmetrical health goth shabby chic pug viral. Before they sold out wolf moon.</p>
[/vc_column_text][vc_empty_space height=""100px""][vc_text_separator title=""Leathercrafting"" title_align=""separator_align_right"" color=""custom"" style=""no_border"" font_size=""23px"" accent_color=""#222222""][vc_column_text css="".vc_custom_1414582772542{margin-top: -30px !important;padding-bottom: 10px !important;padding-left: 30px !important;}""]
<p style=""text-align: right;"">Kogi vegan umami asymmetrical, disrupt pug sriracha pickled sustainable hoodie synth beard truck put a bird on it retro.</p>
[/vc_column_text][/vc_column_inner][/vc_row_inner][/vc_column][/vc_row][vc_row css="".vc_custom_1414596633910{background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}"" background_style=""normal""][vc_column width=""1/2"" font_color=""#ffffff"" css="".vc_custom_1484436045812{padding-top: 100% !important;padding-right: 0px !important;padding-left: 0px !important;background-image: url(http://import.getbowtied.com/shopkeeper-replica//wp-content/uploads/04-2.jpg?id=703) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}""][/vc_column][vc_column width=""1/2"" css="".vc_custom_1484436018980{padding-top: 100% !important;padding-right: 0px !important;padding-left: 0px !important;background-image: url(http://import.getbowtied.com/shopkeeper-replica//wp-content/uploads/05-2.jpg?id=702) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}""][/vc_column][/vc_row][vc_row full_height=""yes"" css="".vc_custom_1486029890516{padding-top: 17% !important;padding-right: 10% !important;padding-bottom: 17% !important;padding-left: 10% !important;background-image: url(http://import.getbowtied.com/shopkeeper-replica//wp-content/uploads/06-1.jpg?id=704) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}"" background_style=""parallax"" font_color=""#ffffff""][vc_column font_color=""#ffffff"" css="".vc_custom_1414497512096{padding-right: 0px !important;padding-left: 0px !important;}""][vc_row_inner][vc_column_inner][vc_column_text css="".vc_custom_1449587949335{margin-bottom: 0px !important;}""]
<h1 style=""text-align: center;""><span style=""color: #ffffff;"">Designed in our Amsterdam studio</span></h1>
<p style=""text-align: center;""><span style=""color: #ffffff;"">Fashion insiders know a cool cover-up is always necessary</span></p>
[/vc_column_text][/vc_column_inner][/vc_row_inner][/vc_column][/vc_row][vc_row equal_height=""yes"" content_placement=""middle"" columns_height=""adjust_cols_height"" background_style=""normal""][vc_column width=""1/3"" css="".vc_custom_1455539700308{padding-top: 40% !important;padding-bottom: 40% !important;padding-left: 20% !important;}"" offset=""vc_hidden-sm vc_hidden-xs""][vc_column_text css="".vc_custom_1455529578600{margin-bottom: 0px !important;}""]<span class=""dropcap"">Q</span>uinoa axe lomo meh put a bird on it tote bag. Keffiyeh meggings narwhal seitan, lomo meh put a bird on it tote bag. Keffiyeh meggings narwhal seitan, Cosby sweater freegan direct trade messenger bag crucifix Helvetica single-origin coffee sriracha twee. Banh mi readymade bespoke, umami photo booth Godard food truck. Tilde seitan jean shorts. Small batch tousled Helvetica, bespoke occupy leggings. Cornhole banh mi DIY, distillery gentrify Bushwick pug put a bird on it.

Narwhal lomo American Apparel, fingerstache Wes Anderson yr drinking vinegar viral mumblecore forage tofu biodiesel sustainable.[/vc_column_text][/vc_column][vc_column width=""2/3"" css="".vc_custom_1484436112943{padding-top: 50% !important;background-image: url(http://import.getbowtied.com/shopkeeper-replica//wp-content/uploads/07.jpg?id=705) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}"" offset=""vc_hidden-sm vc_hidden-xs""][/vc_column][/vc_row]",,,taxable,,1,,0,0,1.5,90,60,90,1,,,216,Women,,,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/jacket_01.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/jacket_02.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/jacket_03.jpg",,,,,,,,,0,,,,,,,,,,,,,
706,simple,,"Skater Girl Style Leather Jacket",1,0,visible,"Constructed in cotton sweat fabric, this lovely piece, lacus eu mattis auctor, dolor lectus venenatis nulla, at tristique eros sem vel ante. Sed leo enim, iaculis ornare tristique non, vulputate sit amet ante. Mauris placerat eleifend leo.",,,,taxable,,1,,0,0,,,,,0,,,256.35,Women,"Beanie, Black, Clothing, Denim, eCommerce, Existentialism, Fashion, Hat, Jacket, Leather, Shorts, Skate, Street-Wear, WooCommerce",,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/beanie_01.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/beanie_03.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/beanie_02.jpg",,,,,,,,,0,,,,,,,,,,,,,
710,simple,,"Black And White Varsity Jacket",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,taxable,,1,,0,0,,,,,0,,,172,Women,,,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/varsity_01.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/varsity_02.jpg",,,,,,,,,0,,,,,,,,,,,,,
713,simple,,"Painter Petite Top",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,taxable,,1,,0,0,,,,,0,,,63,Women,,,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/donut_02.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/donut_01.jpg",,,,,,,,,0,,,,,,,,,,,,,
717,simple,,"LA One Size Fits All Shirt",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,taxable,,1,,0,0,,,,,0,,,125.34,Women,,,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/la_03.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/la_01.jpg",,,,,,,,,0,,,,,,,,,,,,,
721,simple,,"Love Leather Skirt",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,taxable,,1,,0,0,,,,,0,,,174.50,Women,,,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/love_01.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/love_02.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/love_03.jpg",,,,,,,,,0,,,,,,,,,,,,,
725,simple,,"The Short Cheeky Rascals Love Tee In Black & White",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,,taxable,,1,,0,0,,,,,0,,,74.50,Women,,,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/love_02.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/love_03.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/love_01.jpg",,,,,,,,,0,,,,,,,,,,,,,
804,simple,,"Product Layout 2",1,0,visible,"Balmain's top is cut from soft cotton-jersey in a relaxed fit. It's printed with the brand's emblem and finished with signature embossed gold buttons at the shoulders. This off-duty essential looks especially cool with biker jeans and heels.",,,,taxable,,1,,0,0,,,,,0,,,86.75,Women,,,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/grl1.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/grl2.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/grl3.jpg",,,,,,,,,0,,,,,,,,,,,,,
809,simple,,"Oversized Cotton-Blend Shell Bomber Jacket",1,0,visible,"Balmain's top is cut from soft cotton-jersey in a relaxed fit. It's printed with the brand's emblem and finished with signature embossed gold buttons at the shoulders. This off-duty essential looks especially cool with biker jeans and heels.",,,,taxable,,1,,0,0,,,,,0,,,425,Women,,,"http://localhost:8888/wordpress/wp-content/uploads/2017/01/bomber01.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/bomber02-1.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/bomber04.jpg, http://localhost:8888/wordpress/wp-content/uploads/2017/01/bomber03.jpg",,,,,,,,,0,,,,,,,,,,,,,
